Nombre del programa ac adémico al que pertenece el estudiante de la UD,Facultad,Categoría de la Movilidad,País de destino,"Nombre de la IES, Institución o Empresa de destino",Presupuesto asignado,Acto administrativo del apoyo a la movilidad (Resolución - Contrato u otro)
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,Italia,Universidad de Bolonia, N/A , N/A 
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,España,Universidad del Pais Vasco,$5.500.000,Resolución de Rectoría No. 118 de 2017
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,España,Universidad del Pais Vasco,$5.500.000,Resolución de Rectoría No. 118 de 2017
Artes Escénicas,Artes ASAB,Semestre académico,México,Universidad Nacional Autónoma de México,$4.000.000,Resolución de Rectoría No. 118 de 2017
Artes Escénicas,Artes ASAB,Semestre académico,México,Universidad de Guadalajara,N/A, N/A 
Artes Musicales,Artes ASAB,Semestre académico,Argentina,Universidad Nacional de Villa María,N/A, N/A 
Artes Plásticas y Visuales ,Artes ASAB,Semestre académico,Chile,Universidad de Chile,N/A, N/A 
Artes Musicales,Artes ASAB,Semestre académico,Brasil,Universidad Federal del Estado de Rio de Janerio,N/A, N/A 
Artes Escénicas,Artes ASAB,Semestre académico,Argentina,Universidad Nacional de las Artes,N/A, N/A 
Artes Plásticas y Visuales,Artes ASAB,Semestre académico,Chile,Universidad de Chile,N/A, N/A 
Ingeniería Electrónica,Ingeniería,Semestre académico,Argentina,Universidad de Quilmes,$5.000.000,Resolución de Rectoría No. 118 de 2017
ingenieria Catastral y Geodesia,Ingeniería,Semestre académico,Argentina,Universidad de Buenos Aires,N/A, N/A 
Ingeniería Industrial,Ingeniería,Semestre académico,México,Universidad Nacional Autónoma de México,$4.000.000,Resolución de Rectoría No. 118 de 2017
ingenieria Catastral y Geodesia,Ingeniería,Semestre académico,España,Universidad Politécnica de Madrid,$5.500.000,Resolución de Rectoría No. 118 de 2017
Ingeniería Electrónica,Ingeniería,Semestre académico,España,Universidad de Granada,N/A, N/A 
Ingeniería de Sistemas,Ingeniería,Semestre académico,Argentina,Universidad de Buenos Aires,N/A, N/A 
